,sample_size,loss,test_acc
Atelectasis,5737,2.251130662816863,0.8603351955307262
Cardiomegaly,5252,0.9705256492626398,0.9397865853658537
Consolidation,5417,1.4335806616664646,0.9110576923076923
Edema,5166,0.7164294179181908,0.9555512422360248
Effusion,6103,3.083115962931984,0.8087171052631579
Emphysema,5241,0.936308160881326,0.941909509202454
